game_name_id,platform,esrb,singleplayer,multyplayer,coop,price,ign_rating,campaign_duration,is_popular,char_customization,world_size,world_diversity,graphics,period,modding,competitive,genre,type,optimization
Project CARS 2,XBOX,everyone,50,50,50,70,92,100,50,65,30,95,100,2010-sad,0,50,driving,simulation,90
Need for Speed: Underground,PC,everyone,50,0,0,63,88,80,50,90,80,80,30,2000s,50,0,driving,simulation,100
Need for Speed: Underground,PS,everyone,50,0,0,63,88,80,50,90,80,80,30,2000s,0,0,driving,simulation,100
Need for Speed: Underground,XBOX,everyone,50,0,0,63,88,80,50,90,80,80,30,2000s,0,0,driving,simulation,100
Call of Duty 2,PC,teen,50,50,0,70,85,60,50,1,40,70,35,2000s,50,50,war,shooter,89
Call of Duty 2,XBOX,teen,50,50,0,70,85,60,50,1,40,70,35,2000s,50,50,war,shooter,89
Need for Speed: Underground 2,PC,everyone,50,0,50,65,91,85,50,100,85,85,35,2000s,50,0,driving,simulation,100
Need for Speed: Underground 2,PS,everyone,50,0,50,45,91,85,50,100,85,85,35,2000s,0,0,driving,simulation,100
Need for Speed: Underground 2,XBOX,everyone,50,0,50,45,91,85,50,100,85,85,35,2000s,0,0,driving,simulation,100
Call of Duty 3,PC,teen,50,50,0,90,88,70,0,10,40,75,45,2000s,50,0,war,shooter,100
Call of Duty 3,PS,teen,50,50,0,90,88,70,0,10,40,75,45,2000s,50,0,war,shooter,100
Call of Duty 3,XBOX,teen,50,50,0,90,88,70,0,10,40,75,45,2000s,50,0,war,shooter,100
Call of Duty 3,Nintendo,teen,50,50,0,90,88,70,0,10,40,75,45,2000s,50,0,war,shooter,100
Need for Speed Most Wanted,PC,everyone,50,0,50,90,85,88,50,90,85,75,45,2000s,50,0,driving,simulation,100
Need for Speed Most Wanted,PS,everyone,50,0,50,90,85,88,50,90,85,75,45,2000s,0,0,driving,simulation,100
Need for Speed Most Wanted,XBOX,everyone,50,0,50,90,85,88,50,90,85,75,45,2000s,0,0,driving,simulation,100
Need for Speed Most Wanted,Nintendo,everyone,50,0,50,90,85,88,50,90,85,75,45,2000s,0,0,driving,simulation,100
Call of Duty: WWII,PC,mature,50,50,50,20,80,60,50,85,80,90,85,2010-sad,50,50,war,shooter,73
Call of Duty: WWII,PS,mature,50,50,50,20,80,60,50,85,80,90,85,2010-sad,50,50,war,shooter,73
Call of Duty: WWII,XBOX,mature,50,50,50,20,80,60,50,85,80,90,85,2010-sad,50,50,war,shooter,73
